"lang","code","iso6391code"
"http://lexvo.org/id/iso639-3/tiv","tiv",
"http://lexvo.org/id/iso639-3/tuk","tuk","tk"
"http://lexvo.org/id/iso639-3/tkl","tkl",
"http://lexvo.org/id/iso639-3/tlh","tlh",
"http://lexvo.org/id/iso639-3/tmh","tmh",
"http://lexvo.org/id/iso639-3/tsn","tsn","tn"
"http://lexvo.org/id/iso639-3/ton","ton","to"
"http://lexvo.org/id/iso639-3/tog","tog",
"http://lexvo.org/id/iso639-3/tpi","tpi",
"http://lexvo.org/id/iso639-3/tso","tso","ts"
"http://lexvo.org/id/iso639-3/tum","tum",
"http://lexvo.org/id/iso639-5/tup","tup",
"http://lexvo.org/id/iso639-5/tut","tut",
"http://lexvo.org/id/iso639-3/twi","twi","tw"
"http://lexvo.org/id/iso639-3/uig","uig","ug"
"http://lexvo.org/id/iso639-3/uga","uga",
"http://lexvo.org/id/iso639-3/umb","umb",
"http://lexvo.org/id/iso639-3/uzb","uzb","uz"
"http://lexvo.org/id/iso639-3/vai","vai",
"http://lexvo.org/id/iso639-3/ven","ven","ve"
"http://lexvo.org/id/iso639-3/vot","vot",
"http://lexvo.org/id/iso639-3/wln","wln","wa"
"http://lexvo.org/id/iso639-5/wak","wak",
"http://lexvo.org/id/iso639-3/wal","wal",
"http://lexvo.org/id/iso639-3/war","war",
"http://lexvo.org/id/iso639-3/was","was",
"http://lexvo.org/id/iso639-5/wen","wen",
"http://lexvo.org/id/iso639-3/xho","xho","xh"
"http://lexvo.org/id/iso639-3/yao","yao",
"http://lexvo.org/id/iso639-3/yap","yap",
"http://lexvo.org/id/iso639-3/zap","zap",
"http://lexvo.org/id/iso639-3/zbl","zbl",
"http://lexvo.org/id/iso639-3/zen","zen",
"http://lexvo.org/id/iso639-5/znd","znd",
"http://lexvo.org/id/iso639-3/zun","zun",
"http://lexvo.org/id/iso639-3/zza","zza",
